Time,RR[mm/h]
0,0.00039720535
0,0.00046610832
0,0.0003450215
0,0.00034603477
0,0.00028422475
0,0.00039365888
0,0.00024166703
0,0.0002168417
0,0.00018391013
0,0.00027662516
0,0.00017124414
0,0.00016465783
0,0.00014185905
0,0.0002310276
0,0.00014489889
0,0.00014540553
0,0.00012716651
0,0.00021481514
0,0.00013628602
0,0.00013881922
0,0.00012210011
0,0.0002092421
0,0.00013273954
0,0.00013679266
0,0.0001205802
0,0.00020670891
0,0.00013172626
0,0.00013527274
0,0.00011956692
0,0.00020518899
0,0.00013071299
0,0.0001347661
0,0.00011906028
0,0.00020468235
0,0.00013020635
0,0.00013425946
0,0.00011855364
0,0.00020417571
0,0.00013020635
0,0.00013425946
0,0.00011855364
0,0.00020518899
0,0.00013121963
0,0.00013577938
0,0.00012007356
0,0.00020873547
0,0.00013425946
0,0.0001398325
0,0.00012564659
0,0.00022089481
0,0.00014540553
0,0.00015452504
0,0.00014185905
0,0.00025838614
0,0.00017884374
0,0.00019657612
0,0.00018289685
0,0.0003516078
0,0.00023558736
0,0.00024318695
0,0.00047117472
0,0.0006201267
0,0.00038048625
0,0.00041797757
